run_id,dataset,norm,policy,n_views,delta_accuracy,ci_low,ci_high,ci_excludes_zero,mcnemar_p,harm_rate,rescue_rate,mixed_delta_accuracy,ece,nll,brier,n_samples
A-pathmnist-28px-groupnorm-policy-none-s2,pathmnist,groupnorm,intensity,25,-0.4339264294282288,-0.44402239104358254,-0.4239304278288685,True,0.0,0.4643419808843609,0.16563146997929606,-0.6777289084366254,0.08419173013646808,1.24410879611969,0.5970788598060608,10004
A-pathmnist-28px-groupnorm-policy-none-s2,pathmnist,groupnorm,intensity,50,-0.42752898840463815,-0.4374250299880048,-0.41753298680527784,True,0.0,0.45730490494695936,0.15942028985507245,-0.6853258696521392,0.10337110969429014,1.2160202264785767,0.5875542163848877,10004
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,batchnorm,geometric,25,-0.04848130841121501,-0.06600467289719636,-0.031542056074766345,True,2.030331807649366e-07,0.10863874345549739,0.45108695652173914,-0.3189252336448598,0.025879210957856957,0.5619838833808899,0.23334050178527832,1712
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,batchnorm,geometric,50,-0.04614485981308414,-0.06425233644859807,-0.028621495327102786,True,5.623957756679232e-07,0.10536649214659685,0.44565217391304346,-0.30841121495327106,0.018785145568931204,0.560523271560669,0.23224660754203796,1712
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,batchnorm,intensity,25,-0.24591121495327106,-0.26810747663551393,-0.22371495327102808,True,2.057194968119566e-82,0.293848167539267,0.15217391304347827,-0.3189252336448598,0.15123749764583932,0.9468206763267517,0.4784914255142212,1712
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,batchnorm,intensity,50,-0.2225467289719627,-0.24415887850467288,-0.20093457943925241,True,3.607466370026532e-74,0.2670157068062827,0.14673913043478262,-0.30841121495327106,0.15767859949547555,0.933357298374176,0.4697202146053314,1712
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,batchnorm,geometric,25,-0.11740654205607481,-0.1378504672897196,-0.0969626168224299,True,1.2217628037390023e-27,0.17111959287531806,0.4857142857142857,-0.3592289719626168,0.033168847611713626,0.7500283718109131,0.3026246130466461,1712
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,batchnorm,geometric,50,-0.11915887850467288,-0.1396028037383178,-0.09929906542056077,True,1.6670081717372883e-28,0.1717557251908397,0.4714285714285714,-0.3463785046728972,0.030292370295691717,0.746936559677124,0.30108168721199036,1712
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,batchnorm,intensity,25,-0.24474299065420557,-0.26693925233644855,-0.2231308411214954,True,5.222643827874851e-83,0.2824427480916031,0.17857142857142858,-0.3592289719626168,0.17457330663836448,0.9600921273231506,0.47632911801338196,1712
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,batchnorm,intensity,50,-0.235981308411215,-0.2575934579439252,-0.21436915887850472,True,3.522695939677358e-81,0.2703562340966921,0.15,-0.3463785046728972,0.19034980533418255,0.9471267461776733,0.4688573181629181,1712
