run_id,dataset,policy,families,n_views,n_samples,ci_excludes_zero,rescue_rate,mcnemar_p,ci_low,harm_rate,delta_accuracy,bootstrap_seed,ci_high
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,2,3421,True,0.2950191570881226,9.55799220487366e-216,-0.34492838351359245,0.3787974683544304,-0.3273896521484946,1631573953336167162,-0.310143232972815
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,5,3421,True,0.32567049808429116,1.4627309682540906e-181,-0.3007892429114294,0.33449367088607596,-0.28412744811458646,3590995918340246702,-0.267173341128325
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,10,3421,True,0.3218390804597701,1.4741755324033672e-169,-0.28383513592516807,0.3158227848101266,-0.26717334112832514,6142921722500918199,-0.25080385852090037
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,25,3421,True,0.3371647509578544,1.468578166808578e-161,-0.27448114586378247,0.3069620253164557,-0.25781935106693954,13123811801145524040,-0.24174218064893305
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,50,3421,True,0.3486590038314176,3.4932810836253016e-159,-0.27243496053785443,0.3056962025316456,-0.2557731657410114,9529376194455171165,-0.23940368313358662
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,100,3421,True,0.3486590038314176,1.8942863295441626e-160,-0.2741888336743642,0.30759493670886073,-0.25752703887752126,17680330683125570793,-0.2408652440806781
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2,1,3421,True,0.17615176151761516,0.0,-0.5805320081847414,0.6526867627785059,-0.5632855890090617,2575002591690762006,-0.5454545454545454
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2,2,3421,True,0.15718157181571815,0.0,-0.5799473838059046,0.6494102228047182,-0.5624086524408067,2909183459502401104,-0.5445776088862906
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2,5,3421,True,0.16260162601626016,0.0,-0.5413621748026893,0.6068152031454783,-0.5238234434375914,3911929767172581852,-0.5059923998830751
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2,10,3421,True,0.16802168021680217,0.0,-0.5404852382344344,0.6064875491480997,-0.5229465068693364,10021547000377398824,-0.5051154633148203
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2,25,3421,True,0.16531165311653118,0.0,-0.5287927506577024,0.5927260812581914,-0.5109617071031862,14739443970554808044,-0.49342297573808824
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2,50,3421,True,0.15989159891598917,0.0,-0.5325928091201404,0.5966579292267365,-0.5150540777550423,14561674389087216639,-0.4969307220111079
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2,100,3421,True,0.14905149051490515,0.0,-0.5413621748026893,0.6051769331585846,-0.5238234434375914,15896627651313491588,-0.5059923998830751
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2,1,3421,True,0.1498371335504886,0.0,-0.6579947383805905,0.7190109184328838,-0.6410406313943291,17392878790982228471,-0.6240865244080678
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2,2,3421,True,0.13029315960912052,0.0,-0.6711487869044139,0.7315350032113038,-0.6541946799181526,17167302602496497555,-0.6375328851213096
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2,5,3421,True,0.12052117263843648,0.0,-0.6591639871382637,0.7177263969171483,-0.6425021923414207,5868892287326665689,-0.6258403975445777
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2,10,3421,True,0.13029315960912052,0.0,-0.6606255480853551,0.7202954399486191,-0.6439637532885121,13818435210580942918,-0.6270023384975154
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2,25,3421,True,0.08143322475570032,0.0,-0.6717334112832505,0.7283236994219653,-0.655656240865244,17206935334942539224,-0.6392867582578194
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2,50,3421,True,0.048859934853420196,0.0,-0.6769950306927799,0.730892742453436,-0.6609178602747734,18244141817143678065,-0.644840689856767
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2,100,3421,True,0.05863192182410423,0.0,-0.6843028354282374,0.73956326268465,-0.6679333528208127,8716783061569382754,-0.6515638702133879
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2,1,3421,True,0.1610738255033557,0.0,-0.5755627009646302,0.6263208453410183,-0.557731657410114,8062053461261281437,-0.540192926045016
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2,2,3421,True,0.12416107382550336,0.0,-0.5629932768196434,0.6096701889209094,-0.5457468576439637,1642327835178606880,-0.5287927506577024
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2,5,3421,True,0.15100671140939598,0.0,-0.5197310727857352,0.5648414985590778,-0.5024846536100556,9980875072610934026,-0.4849459222449576
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2,10,3421,True,0.13087248322147652,0.0,-0.5144694533762058,0.5568363752801793,-0.4969307220111079,16083165700156481028,-0.4790996784565916
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2,25,3421,True,0.12080536912751678,0.0,-0.5080385852090032,0.5488312520012808,-0.4904998538439053,2909134883686077378,-0.47325343466822567
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2,50,3421,True,0.12751677852348994,0.0,-0.5086232095878398,0.5501120717259046,-0.49108447822274187,17226882277162324619,-0.47413037123648055
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2,100,3421,True,0.1174496644295302,0.0,-0.5124232680502777,0.553314121037464,-0.4948845366851798,10049940047728703485,-0.4773458053200819
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,1,3421,True,0.14583333333333334,0.0,-0.526454253142356,0.5386023802258163,-0.509792458345513,15909764296973238787,-0.4922537269804151
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,2,3421,True,0.125,0.0,-0.5016077170418006,0.5111382361916387,-0.48436129786612103,16340934181581202339,-0.46711487869044144
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,5,3421,True,0.1736111111111111,0.0,-0.48523823443437597,0.4961855355508087,-0.46799181525869626,4583203319281330805,-0.45074539608301667
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,10,3421,True,0.1388888888888889,0.0,-0.4878690441391406,0.4980164784864205,-0.4712072493422976,10679501578159871908,-0.4542531423560362
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,25,3421,True,0.1111111111111111,0.0,-0.4837766734872844,0.4922184925236497,-0.4668225665010231,7711930094671594566,-0.44986845951476173
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,50,3421,True,0.13194444444444445,0.0,-0.48903829289681383,0.4983216356423558,-0.4717918737211342,396114627670290764,-0.45483776673487286
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,100,3421,True,0.11805555555555555,0.0,-0.48494592224495764,0.4934391211473909,-0.467699503069278,16007499541801450111,-0.45074539608301667
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,1,3421,True,0.25157232704402516,0.0,-0.47793042969891847,0.49540159411404044,-0.4606840105232388,15686573245140372645,-0.44343028354282377
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,2,3421,True,0.24528301886792453,4.019258604415699e-300,-0.44022215726395786,0.4555487431023912,-0.42297573808827826,6274469979091844515,-0.4054370067231804
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,5,3421,True,0.2830188679245283,5.980350000651814e-292,-0.43232972814966386,0.4491109748620478,-0.41508330897398427,13004774620934712007,-0.3975445776088863
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,10,3421,True,0.3018867924528302,4.90380160372844e-278,-0.4156679333528208,0.4319435928877989,-0.39783688979830456,24636281611060291,-0.3802981584332067
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,25,3421,True,0.2830188679245283,3.1469209820627743e-277,-0.41245249926921956,0.42826486817903126,-0.39520608009353986,15938266971174337375,-0.377667348728442
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,50,3421,True,0.27672955974842767,3.797726853823021e-274,-0.4077755042385268,0.4230533415082771,-0.3905290850628471,12093351316444238009,-0.3735749780765858
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,100,3421,True,0.2830188679245283,2.653536958621629e-270,-0.40309850920783397,0.4184549356223176,-0.38585209003215437,1357989504004124174,-0.3686056708564748
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,1,3421,True,0.11290322580645161,0.0,-0.5515931014323296,0.5589930239611768,-0.5346389944460683,15181114854223114591,-0.517684887459807
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,2,3421,True,0.12096774193548387,0.0,-0.5282081262788658,0.535335153169548,-0.5115463314820228,16880238716593011514,-0.49459222449576146
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,5,3421,True,0.10483870967741936,0.0,-0.5483776673487284,0.5559599636032757,-0.5320081847413036,12372596761511580793,-0.5147617655656241
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,10,3421,True,0.10483870967741936,0.0,-0.5679625840397544,0.5753715498938429,-0.5507161648640748,7231872223834493521,-0.5340543700672318
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,25,3421,True,0.0967741935483871,0.0,-0.578193510669395,0.5859872611464968,-0.5612394036831336,3105710786354112285,-0.5445776088862906
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,50,3421,True,0.0967741935483871,0.0,-0.5866705641625256,0.5950864422202001,-0.5700087693656826,7051423856940353328,-0.5536319789535225
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,100,3421,True,0.0967741935483871,0.0,-0.5904706226249634,0.5987261146496815,-0.5735165156387021,6505846986405714886,-0.5568474130371237
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,none,H1|H2|H3,1,7180,True,0.19137466307277629,0.0,-0.3947075208913649,0.5308988764044944,-0.3816155988857939,11262684519403737479,-0.3685236768802228
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,none,H1|H2|H3,2,7180,True,0.19070080862533692,0.0,-0.32688022284122564,0.44610252808988765,-0.3144846796657382,3130930625887337076,-0.30208913649025076
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,none,H1|H2|H3,5,7180,True,0.18194070080862534,0.0,-0.2958217270194986,0.40484550561797755,-0.2835654596100279,9460109780687958757,-0.2717270194986072
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,none,H1|H2|H3,10,7180,True,0.19339622641509435,1.5447665337983631e-294,-0.26002785515320337,0.363061797752809,-0.24805013927576602,11975372103319550023,-0.23607242339832868
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,none,H1|H2|H3,25,7180,True,0.1967654986522911,7.151851228506358e-232,-0.21727019498607236,0.3105688202247191,-0.2057103064066852,3159914625989984949,-0.19442896935933152
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,none,H1|H2|H3,50,7180,True,0.20215633423180593,2.2802375756429515e-204,-0.19874651810584965,0.2891502808988764,-0.18760445682451254,16535949194858500694,-0.17646239554317544
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,none,H1|H2|H3,100,7180,True,0.21091644204851753,3.0678244085299e-196,-0.1947075208913649,0.28651685393258425,-0.1837047353760446,1013222735995319577,-0.1725626740947075
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,none,H1|H2|H3,1,7180,True,0.1769809138230191,0.0,-0.4520926183844011,0.6341955604476243,-0.4388579387186629,15272355516284737493,-0.425766016713092
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,none,H1|H2|H3,2,7180,True,0.1792943898207056,0.0,-0.4174094707520891,0.5892496789579894,-0.40417827298050135,496314617755340597,-0.3910863509749304
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,none,H1|H2|H3,5,7180,True,0.1550028918449971,0.0,-0.4355153203342618,0.6057604109337736,-0.4225626740947075,6503731226917302207,-0.4093314763231197
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,none,H1|H2|H3,10,7180,True,0.14806246385193753,0.0,-0.4332869080779944,0.6008071913410383,-0.42047353760445677,17646413966258332869,-0.4075208913649025
