run_id,dataset,n_views,anchored_delta_accuracy,anchored_harm_rate,anchored_rescue_rate,anchored_accuracy
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,5,-0.331058495821727,0.4861493303980921,0.15789473684210525,0.42813370473537604
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,10,-0.37061281337047347,0.5353146211704275,0.14864083285135918,0.38857938718662954
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,25,-0.393175487465181,0.568336085121996,0.15905147484094853,0.366016713091922
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,50,-0.39331476323119774,0.5710878737846267,0.16714864083285136,0.3658774373259053
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,100,-0.39066852367688015,0.5685195376995047,0.1700404858299595,0.36852367688022286
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,1,-0.16169916434540388,0.21342395921835175,0.07335907335907337,0.6579387186629526
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,2,-0.2547353760445682,0.3284621920135939,0.08030888030888031,0.5649025069637883
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,5,-0.3537604456824512,0.44621920135938825,0.06640926640926641,0.4658774373259053
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,10,-0.3813370473537604,0.48054375531011045,0.0694980694980695,0.4383008356545961
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,25,-0.40557103064066846,0.5072217502124045,0.05637065637065637,0.41406685236768803
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,50,-0.4149025069637883,0.5162276975361088,0.04555984555984556,0.4047353760445682
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,100,-0.4193593314763231,0.5213254035683942,0.044015444015444015,0.4002785515320334
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,1,-0.12381615598885798,0.15759128763613067,0.1014957264957265,0.7458217270194986
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,2,-0.2593314763231198,0.3171044202434337,0.12606837606837606,0.6103064066852367
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,5,-0.38579387186629527,0.45980140935297886,0.10790598290598291,0.48384401114206127
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,10,-0.4165738161559889,0.49615631005765537,0.11431623931623931,0.45306406685236766
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,25,-0.4318941504178273,0.5145739910313901,0.11965811965811966,0.43774373259052923
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,50,-0.43036211699164345,0.5129724535554132,0.12072649572649573,0.4392757660167131
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,100,-0.42994428969359333,0.5124919923126201,0.12072649572649573,0.4396935933147632
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,1,-0.12715877437325906,0.16862097440132123,0.096,0.7161559888579387
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,2,-0.29986072423398336,0.37572254335260113,0.10844444444444444,0.5434540389972145
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,5,-0.4210306406685237,0.519570602807597,0.10933333333333334,0.4222841225626741
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,10,-0.44387186629526465,0.5454995871180842,0.10311111111111111,0.39944289693593316
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,25,-0.4572423398328691,0.561849710982659,0.10577777777777778,0.3860724233983287
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,50,-0.4635097493036212,0.5699421965317919,0.10933333333333334,0.3798050139275766
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,100,-0.4646239554317549,0.5717588769611891,0.112,0.3786908077994429
A-pathmnist-28px-groupnorm-policy-none-s2,pathmnist,1,-0.12994428969359328,0.16302601991647928,0.0859538784067086,0.7371866295264624
A-pathmnist-28px-groupnorm-policy-none-s2,pathmnist,2,-0.2927576601671309,0.3530356569225827,0.10062893081761007,0.5743732590529248
