run_id,dataset,n_views,bn_vs_naive_ci_high,bn_vs_clean_ci_low,bn_vs_clean_ci_high,bn_vs_naive_ci_low,bn_delta_vs_naive,bn_vs_naive_excludes_zero,bn_vs_clean_excludes_zero,bn_delta_vs_clean
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,25,0.22075208913649025,-0.2293906685236769,-0.20222841225626742,0.19080779944289694,0.20571030640668525,True,True,-0.21587743732590525
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,50,0.23551532033426187,-0.21573816155988856,-0.1884401114206129,0.20584958217270194,0.22075208913649025,True,True,-0.20194986072423393
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,100,0.26587743732590524,-0.1853760445682452,-0.1583565459610028,0.2371866295264624,0.2513927576601671,True,True,-0.17200557103064062
A-pathmnist-64px-batchnorm-policy-none-s0,pathmnist,1,0.31935933147632317,-0.10069986072423402,-0.07701949860724233,0.2919220055710306,0.3058495821727019,True,True,-0.08899721448467968
A-pathmnist-64px-batchnorm-policy-none-s0,pathmnist,2,0.24108635097493036,-0.1658774373259052,-0.14150417827298045,0.21406685236768802,0.22757660167130922,True,True,-0.15362116991643449
A-pathmnist-64px-batchnorm-policy-none-s0,pathmnist,5,0.2899721448467967,-0.10417827298050142,-0.08105849582172708,0.2633704735376044,0.2767409470752089,True,True,-0.09247910863509745
A-pathmnist-64px-batchnorm-policy-none-s0,pathmnist,10,0.2637883008356546,-0.12576601671309195,-0.10222841225626744,0.23690807799442898,0.25055710306406687,True,True,-0.11406685236768799
A-pathmnist-64px-batchnorm-policy-none-s0,pathmnist,25,0.26573816155988855,-0.13231197771587744,-0.10877437325905293,0.23955431754874656,0.2527855153203343,True,True,-0.12033426183844009
A-pathmnist-64px-batchnorm-policy-none-s0,pathmnist,50,0.28607242339832867,-0.11197771587743732,-0.0885793871866295,0.26002785515320337,0.27325905292479113,True,True,-0.10027855153203336
A-pathmnist-64px-batchnorm-policy-none-s0,pathmnist,100,0.24456824512534814,-0.15446030640668523,-0.13077994428969364,0.21810236768802227,0.23147632311977717,True,True,-0.14261838440111418
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,1,0.41559888579387183,-0.05947423398328693,-0.0348189415041783,0.3873259052924792,0.4016713091922005,True,True,-0.047075208913649025
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,2,0.32938718662952643,-0.12758008356545963,-0.10181058495821727,0.30013927576601673,0.3149025069637883,True,True,-0.11476323119777154
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,5,0.3697771587743733,-0.07883008356545951,-0.05320334261838444,0.34108635097493034,0.35543175487465184,True,True,-0.06601671309192192
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,10,0.3353760445682451,-0.09888579387186625,-0.07339832869080787,0.3062674094707521,0.3207520891364903,True,True,-0.08621169916434535
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,25,0.3160201949860724,-0.1061281337047354,-0.08050139275766022,0.2863509749303621,0.30097493036211703,True,True,-0.09345403899721438
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,50,0.33635097493036215,-0.08091922005571028,-0.055431754874651795,0.30682451253481896,0.3214484679665738,True,True,-0.0681058495821727
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,100,0.28662952646239553,-0.12715877437325906,-0.10181058495821727,0.25724233983286904,0.27186629526462397,True,True,-0.11476323119777154
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,1,0.3387186629526462,-0.2008356545961002,-0.17701949860724242,0.30988857938718667,0.32437325905292475,True,True,-0.18899721448467965
